Gesamtzahl aller Wörter: 143901

Wort                     | POS  | Count | TAG   | Lexikalische Vielfalt
stichwahl                | NOUN | 2     | NN    | 0.0013898444069186454
entladen                 | VERB | 1     | VVFIN | 0.0006949222034593227
terroristen              | NOUN | 60    | NN    | 0.04169533220755937
congress                 | PROPN| 2     | NE    | 0.0013898444069186454
117.                     | NUM  | 1     | CARD  | 0.0006949222034593227
2016.                    | NUM  | 2     | CARD  | 0.0013898444069186454
benutzen                 | VERB | 6     | VVFIN | 0.0041695332207559365
bunte                    | ADJ  | 12    | ADJA  | 0.008339066441511873
damme                    | PROPN| 9     | NE    | 0.006254299831133904
10.000                   | NUM  | 4     | CARD  | 0.0027796888138372907
wähle                    | VERB | 2     | VVFIN | 0.0013898444069186454
obdachlose               | NOUN | 33    | NN    | 0.02293243271415765
kontrolliert             | VERB | 13    | VVFIN | 0.009033988644971196
wird                     | AUX  | 70    | VAFIN | 0.04864455424215259
27                       | NUM  | 8     | CARD  | 0.0055593776276745815
frese                    | PROPN| 1     | NE    | 0.0006949222034593227
eiswagen                 | NOUN | 10    | NN    | 0.006949222034593227
verletzungen             | NOUN | 7     | NN    | 0.0048644554242152594
tel                      | PROPN| 2     | NE    | 0.0013898444069186454
witze                    | NOUN | 2     | NN    | 0.0013898444069186454
reet                     | NOUN | 1     | NE    | 0.0006949222034593227
wahlentscheidung         | NOUN | 1     | NN    | 0.0006949222034593227
fdp                      | PROPN| 13    | NE    | 0.009033988644971196
2010                     | NUM  | 2     | CARD  | 0.0013898444069186454
erwartet                 | VERB | 1     | VVPP  | 0.0006949222034593227
tierbabys                | NOUN | 1     | NN    | 0.0006949222034593227
nizza                    | PROPN| 2     | NE    | 0.0013898444069186454
flüssig                  | ADV  | 1     | ADJD  | 0.0006949222034593227
bleiben                  | VERB | 27    | VVINF | 0.018762899493401715
travemünde               | PROPN| 6     | NE    | 0.0041695332207559365
unten                    | ADV  | 3     | ADV   | 0.0020847666103779683
weist                    | VERB | 1     | VVFIN | 0.0006949222034593227
reinigen                 | VERB | 2     | VVINF | 0.0013898444069186454
öffnen                   | VERB | 17    | VVINF | 0.011813677458808486
grönemeyer               | PROPN| 1     | NE    | 0.0006949222034593227
hexe                     | NOUN | 1     | NN    | 0.0006949222034593227
verbrecher               | NOUN | 1     | NN    | 0.0006949222034593227
schneise                 | NOUN | 4     | NN    | 0.0027796888138372907
nordenham                | PROPN| 1     | NE    | 0.0006949222034593227
1980.                    | PROPN| 1     | $.    | 0.0006949222034593227
weiterspielen            | VERB | 10    | VVINF | 0.006949222034593227
durch                    | ADP  | 104   | APPR  | 0.07227190915976957
monika                   | PROPN| 5     | NE    | 0.0034746110172966136
48                       | NUM  | 2     | CARD  | 0.0013898444069186454
schwester                | NOUN | 2     | NN    | 0.0013898444069186454
96.                      | ADJ  | 1     | NN    | 0.0006949222034593227
zeltlager                | NOUN | 7     | NN    | 0.0048644554242152594
stromausfälle            | NOUN | 1     | NN    | 0.0006949222034593227
heruntergestürzt         | VERB | 2     | VVPP  | 0.0013898444069186454
warnen                   | VERB | 9     | VVFIN | 0.006254299831133904
gast                     | NOUN | 2     | NN    | 0.0013898444069186454
michael                  | PROPN| 22    | NE    | 0.0152882884761051
abgelassen               | VERB | 1     | VVPP  | 0.0006949222034593227
repariert                | VERB | 23    | VVPP  | 0.015983210679564423
sievekingsallee          | PROPN| 2     | NE    | 0.0013898444069186454
geglaubt                 | VERB | 10    | VVPP  | 0.006949222034593227
schwänen                 | NOUN | 1     | NN    | 0.0006949222034593227
festgestellt             | VERB | 3     | VVPP  | 0.0020847666103779683
krankenbett              | NOUN | 1     | NN    | 0.0006949222034593227
weißer                   | ADJ  | 1     | ADJA  | 0.0006949222034593227
frauen                   | NOUN | 41    | NN    | 0.028491810341832232
fahrradfahrern           | NOUN | 3     | NN    | 0.0020847666103779683
arbeiten                 | NOUN | 19    | NN    | 0.013203521865727132
warnlichter              | NOUN | 1     | NN    | 0.0006949222034593227
mehrere                  | PRON | 1     | PIS   | 0.0006949222034593227
jahr                     | NOUN | 228   | NN    | 0.15844226238872558
fehmarn                  | PROPN| 1     | NE    | 0.0006949222034593227
märchenwald              | NOUN | 3     | NN    | 0.0020847666103779683
vertrauen                | NOUN | 1     | NN    | 0.0006949222034593227
sie                      | PRON | 250   | PPER  | 0.1737305508648307
urlaub                   | NOUN | 54    | NN    | 0.03752579898680343
sonntag                  | NOUN | 51    | NN    | 0.03544103237642546
0:0.                     | NOUN | 1     | NN    | 0.0006949222034593227
rauchen                  | NOUN | 1     | NN    | 0.0006949222034593227
kaianlage                | NOUN | 5     | NN    | 0.0034746110172966136
volkspark                | NOUN | 1     | NN    | 0.0006949222034593227
zähne                    | NOUN | 1     | NN    | 0.0006949222034593227
72                       | NUM  | 4     | CARD  | 0.0027796888138372907
wünsche                  | VERB | 1     | VVFIN | 0.0006949222034593227
grand-slam-turniere      | NOUN | 2     | NN    | 0.0013898444069186454
politische               | ADJ  | 1     | ADJA  | 0.0006949222034593227
ausgegangen              | VERB | 2     | VVPP  | 0.0013898444069186454
verletzen                | VERB | 1     | VVFIN | 0.0006949222034593227
finder                   | NOUN | 1     | NN    | 0.0006949222034593227
spanische                | ADJ  | 1     | ADJA  | 0.0006949222034593227
ministerpräsident        | NOUN | 29    | NN    | 0.02015274390032036
letzter                  | ADJ  | 2     | ADJA  | 0.0013898444069186454
dritte                   | ADJ  | 2     | ADJA  | 0.0013898444069186454
hwang                    | PROPN| 2     | NE    | 0.0013898444069186454
seefahrern               | NOUN | 3     | NN    | 0.0020847666103779683
körperteile              | NOUN | 6     | NN    | 0.0041695332207559365
niederung                | NOUN | 4     | NN    | 0.0027796888138372907
behält                   | VERB | 1     | VVFIN | 0.0006949222034593227
schwach                  | ADV  | 3     | ADJD  | 0.0020847666103779683
doch                     | ADV  | 1     | ADV   | 0.0006949222034593227
prüfen                   | VERB | 3     | VVFIN | 0.0020847666103779683
weinreben                | NOUN | 3     | NN    | 0.0020847666103779683
lebt                     | VERB | 5     | VVFIN | 0.0034746110172966136
kälte                    | NOUN | 3     | NN    | 0.0020847666103779683
war                      | AUX  | 1362  | VAFIN | 0.9464840411115976
ver.di                   | PROPN| 11    | NE    | 0.00764414423805255
plastikmüll              | NOUN | 7     | NN    | 0.0048644554242152594
us                       | PROPN| 4     | NE    | 0.0027796888138372907
seine                    | DET  | 24    | PPOSAT| 0.016678132883023746
übergeben                | VERB | 1     | VVINF | 0.0006949222034593227
leben                    | VERB | 2     | VVINF | 0.0013898444069186454
abstand                  | NOUN | 24    | NN    | 0.016678132883023746
unfallstellen            | NOUN | 1     | NN    | 0.0006949222034593227
a31                      | ADP  | 1     | ADV   | 0.0006949222034593227
giftige                  | ADJ  | 6     | ADJA  | 0.0041695332207559365
stellen                  | VERB | 4     | VVFIN | 0.0027796888138372907
protestieren             | VERB | 4     | VVFIN | 0.0027796888138372907
überfahren               | VERB | 16    | VVPP  | 0.011118755255349163
windkraftanlage          | NOUN | 25    | NN    | 0.01737305508648307
