Gesamtzahl aller Wörter: 75340

Wort                     | POS  | Count | TAG   | Lexikalische Vielfalt
elmshorn                 | PROPN| 4     | NE    | 0.005309264666843642
leistung                 | NOUN | 1     | NN    | 0.0013273161667109105
berlin                   | PROPN| 19    | NE    | 0.0252190071675073
nordosten                | NOUN | 2     | NN    | 0.002654632333421821
baustoff                 | NOUN | 3     | NN    | 0.003981948500132732
tierärzte                | NOUN | 2     | NN    | 0.002654632333421821
hinweisen                | NOUN | 1     | NN    | 0.0013273161667109105
lagerfeld                | PROPN| 9     | NE    | 0.011945845500398195
kabeln                   | NOUN | 1     | NN    | 0.0013273161667109105
25.01.2019.              | PROPN| 1     | NE    | 0.0013273161667109105
verletzen                | VERB | 1     | VVINF | 0.0013273161667109105
109.                     | NUM  | 1     | CARD  | 0.0013273161667109105
marco                    | PROPN| 1     | NE    | 0.0013273161667109105
kebschull                | PROPN| 3     | NE    | 0.003981948500132732
gefährlich               | ADV  | 61    | ADJD  | 0.08096628616936555
indianer                 | NOUN | 4     | NN    | 0.005309264666843642
studenten                | NOUN | 1     | NN    | 0.0013273161667109105
kriminell                | ADV  | 1     | ADJD  | 0.0013273161667109105
neuenkirchen-vörden      | PROPN| 2     | NE    | 0.002654632333421821
verschicken              | VERB | 1     | VVINF | 0.0013273161667109105
sperrmüll                | NOUN | 6     | NN    | 0.007963897000265464
seawolves                | NOUN | 1     | NN    | 0.0013273161667109105
trotz                    | ADP  | 2     | APPR  | 0.002654632333421821
munster                  | PROPN| 2     | NN    | 0.002654632333421821
verbotenen               | ADJ  | 2     | ADJA  | 0.002654632333421821
vorfahrt                 | NOUN | 1     | NN    | 0.0013273161667109105
verbrannt                | VERB | 1     | VVPP  | 0.0013273161667109105
heimen                   | NOUN | 3     | NN    | 0.003981948500132732
politikerin              | NOUN | 14    | NN    | 0.018582426333952747
28.                      | ADJ  | 2     | ADJA  | 0.002654632333421821
test                     | NOUN | 7     | NN    | 0.009291213166976373
gerne                    | ADV  | 2     | ADV   | 0.002654632333421821
gelegt                   | VERB | 5     | VVPP  | 0.006636580833554553
bergen                   | PROPN| 2     | NE    | 0.002654632333421821
auf                      | ADP  | 557   | APPR  | 0.7393151048579771
onnen                    | PROPN| 6     | NE    | 0.007963897000265464
rollstuhl                | NOUN | 1     | NN    | 0.0013273161667109105
foto                     | NOUN | 3     | NN    | 0.003981948500132732
neustrelitz              | PROPN| 4     | NE    | 0.005309264666843642
sellering                | PROPN| 7     | NE    | 0.009291213166976373
stromschlag              | NOUN | 1     | NN    | 0.0013273161667109105
tote                     | NOUN | 8     | NN    | 0.010618529333687284
verschwundene            | ADJ  | 1     | ADJA  | 0.0013273161667109105
sport-verein             | NOUN | 8     | NN    | 0.010618529333687284
frauenfußball            | NOUN | 1     | NN    | 0.0013273161667109105
hühnerstall              | NOUN | 4     | NN    | 0.005309264666843642
überraschend             | ADV  | 2     | ADJD  | 0.002654632333421821
chefs                    | NOUN | 4     | NN    | 0.005309264666843642
nürnberg                 | PROPN| 3     | NE    | 0.003981948500132732
gebracht                 | VERB | 28    | VVPP  | 0.03716485266790549
benefiz-konzert          | NOUN | 3     | NN    | 0.003981948500132732
sportarten               | NOUN | 1     | NN    | 0.0013273161667109105
schwaförden              | PROPN| 2     | NE    | 0.002654632333421821
polizist                 | NOUN | 20    | NN    | 0.026546323334218212
heuler                   | NOUN | 10    | NN    | 0.013273161667109106
07.01.2020.              | NOUN | 1     | NN    | 0.0013273161667109105
spendentag               | NOUN | 5     | NN    | 0.006636580833554553
stadttteil               | NOUN | 1     | NN    | 0.0013273161667109105
26.06.2019.              | NOUN | 1     | NN    | 0.0013273161667109105
reden                    | VERB | 3     | VVINF | 0.003981948500132732
fremde                   | ADJ  | 3     | ADJA  | 0.003981948500132732
östliche                 | ADJ  | 1     | ADJA  | 0.0013273161667109105
ardern                   | VERB | 1     | NN    | 0.0013273161667109105
weihnachtsmarkt          | NOUN | 1     | NN    | 0.0013273161667109105
soll                     | AUX  | 43    | VMFIN | 0.05707459516856915
reedereien               | NOUN | 2     | NN    | 0.002654632333421821
bergen                   | NOUN | 2     | NE    | 0.002654632333421821
dfb-pokal                | NOUN | 26    | NN    | 0.03451022033448367
ein                      | ADV  | 2     | PTKVZ | 0.002654632333421821
lenschow                 | PROPN| 4     | NE    | 0.005309264666843642
geplatzt                 | VERB | 1     | VVPP  | 0.0013273161667109105
lokomotive               | NOUN | 1     | NN    | 0.0013273161667109105
89                       | NUM  | 2     | CARD  | 0.002654632333421821
winsen                   | PROPN| 1     | NE    | 0.0013273161667109105
gebremst                 | VERB | 5     | VVPP  | 0.006636580833554553
getroffen                | VERB | 16    | VVPP  | 0.02123705866737457
schiffstaufe             | NOUN | 4     | NN    | 0.005309264666843642
kaputtgegangen           | VERB | 4     | VVPP  | 0.005309264666843642
verkaufen                | VERB | 5     | VVINF | 0.006636580833554553
sögel                    | PROPN| 2     | NE    | 0.002654632333421821
spenden                  | NOUN | 1     | NN    | 0.0013273161667109105
volleyballspiel          | NOUN | 4     | NN    | 0.005309264666843642
freiburg                 | PROPN| 2     | NE    | 0.002654632333421821
blinden                  | ADJ  | 3     | ADJA  | 0.003981948500132732
7.                       | ADJ  | 1     | ADJA  | 0.0013273161667109105
verkaufen                | VERB | 5     | VVFIN | 0.006636580833554553
