Wort, POS, Count, TAG, Lexikalische Vielfalt
fallschirmsprung, NOUN, 1, NN, 0.00045734
nachhilfe, NOUN, 3, NN, 0.00137202
days, PROPN, 11, NE, 0.00503073
königin, NOUN, 21, NN, 0.00960413
kabeln, NOUN, 1, NN, 0.00045734
keinen, DET, 53, PIAT, 0.02423899
1100, NUM, 2, CARD, 0.00091468
skelett, NOUN, 1, NN, 0.00045734
kohlbrot, NOUN, 2, NN, 0.00091468
vereinbart, VERB, 1, VVPP, 0.00045734
baden-baden, PROPN, 3, NE, 0.00137202
haarfarbe, NOUN, 2, NN, 0.00091468
dienst, NOUN, 10, NN, 0.00457339
tennistunier, NOUN, 2, NN, 0.00091468
vergessen, VERB, 4, VVFIN, 0.00182936
telefonanruf, NOUN, 1, NN, 0.00045734
kommenden, ADJ, 2, ADJA, 0.00091468
verletzen, VERB, 1, VVFIN, 0.00045734
06.11.2019., NOUN, 1, ADJA, 0.00045734
angelique, PROPN, 2, NE, 0.00091468
punkt, NOUN, 6, NN, 0.00274404
