CMDLINE C:\Users\caligorax\AppData\Local\Microsoft\WindowsApps\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\python.exe studentcode.py
MEM 999.398438 1706729797.7913
MEM 999.730469 1706729797.8915
MEM 999.800781 1706729797.9920
MEM 999.019531 1706729798.0925
MEM 1002.058594 1706729798.1927
MEM 1002.207031 1706729798.2929
MEM 1002.363281 1706729798.3930
MEM 1003.332031 1706729798.4932
MEM 1002.484375 1706729798.5933
MEM 1001.464844 1706729798.6936
MEM 1004.027344 1706729798.7937
MEM 1002.363281 1706729798.8939
MEM 1002.273438 1706729798.9940
MEM 1003.656250 1706729799.0942
MEM 1003.488281 1706729799.1944
MEM 1004.496094 1706729799.2950
MEM 1003.718750 1706729799.3955
MEM 1005.253906 1706729799.4958
MEM 1005.250000 1706729799.5964
MEM 1007.371094 1706729799.6968
MEM 1004.257812 1706729799.7972
MEM 1003.679688 1706729799.8977
MEM 1004.988281 1706729799.9978
MEM 1005.242188 1706729800.0980
MEM 1006.199219 1706729800.1984
MEM 1005.117188 1706729800.2990
MEM 1006.921875 1706729800.3992
MEM 1006.550781 1706729800.4994
MEM 1006.101562 1706729800.6000
MEM 1008.078125 1706729800.7005
MEM 1008.726562 1706729800.8006
MEM 1007.566406 1706729800.9012
MEM 1008.925781 1706729801.0013
MEM 1009.261719 1706729801.1014
MEM 1008.261719 1706729801.2020
MEM 1008.738281 1706729801.3025
MEM 1007.925781 1706729801.4031
MEM 1008.960938 1706729801.5034
MEM 1010.304688 1706729801.6036
MEM 1009.734375 1706729801.7039
MEM 1009.484375 1706729801.8044
MEM 1010.480469 1706729801.9045
MEM 1009.707031 1706729802.0047
MEM 1011.714844 1706729802.1049
MEM 1010.816406 1706729802.2050
MEM 1009.976562 1706729802.3054
MEM 1011.902344 1706729802.4056
MEM 1013.207031 1706729802.5058
MEM 1011.152344 1706729802.6061
MEM 1012.269531 1706729802.7065
MEM 1013.523438 1706729802.8067
MEM 1013.164062 1706729802.9069
MEM 1014.390625 1706729803.0070
MEM 1013.480469 1706729803.1074
MEM 1013.070312 1706729803.2076
MEM 1014.000000 1706729803.3080
MEM 1012.824219 1706729803.4085
MEM 1014.000000 1706729803.5089
MEM 1013.648438 1706729803.6093
MEM 1015.929688 1706729803.7096
MEM 1013.621094 1706729803.8097
MEM 1015.761719 1706729803.9099
MEM 1013.968750 1706729804.0101
MEM 1016.332031 1706729804.1103
MEM 1015.382812 1706729804.2106
MEM 1016.460938 1706729804.3107
MEM 1016.714844 1706729804.4110
MEM 1017.000000 1706729804.5113
MEM 1016.574219 1706729804.6118
MEM 1016.015625 1706729804.7123
MEM 1017.386719 1706729804.8127
MEM 1016.296875 1706729804.9130
MEM 1021.222656 1706729805.0134
MEM 1029.640625 1706729805.1138
MEM 1032.410156 1706729805.2142
MEM 1034.554688 1706729805.3144
MEM 1034.554688 1706729805.4146
MEM 1034.554688 1706729805.5148
