         11364780 function calls (10967982 primitive calls) in 156.532 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.410    0.410 C:\Python38\lib\site-packages\spacy\language.py:1733(from_config)
        3    0.001    0.000    0.402    0.134 C:\Python38\lib\tkinter\__init__.py:2241(__init__)
        3    0.399    0.133    0.399    0.133 {built-in method _tkinter.create}
     1320    0.004    0.000    0.392    0.000 <__array_function__ internals>:177(hstack)
     6262    0.140    0.000    0.388    0.000 spacy\vocab.pyx:181(_new_lexeme)
39042/6397    0.046    0.000    0.385    0.000 C:\Python38\lib\site-packages\pydantic\v1\fields.py:852(validate)
      222    0.001    0.000    0.382    0.002 C:\Python38\lib\site-packages\urllib3\response.py:843(read)
     1320    0.008    0.000    0.379    0.000 C:\Python38\lib\site-packages\numpy\core\shape_base.py:299(hstack)
39064/6419    0.035    0.000    0.377    0.000 C:\Python38\lib\site-packages\pydantic\v1\fields.py:1056(_validate_singleton)
     2640    0.006    0.000    0.375    0.000 C:\Python38\lib\site-packages\thinc\layers\expand_window.py:18(forward)
        1    0.000    0.000    0.374    0.374 spacy\vectors.pyx:700(load_vectors)
        1    0.000    0.000    0.373    0.373 C:\Python38\lib\site-packages\numpy\lib\npyio.py:263(load)
        1    0.000    0.000    0.373    0.373 C:\Python38\lib\site-packages\numpy\lib\format.py:731(read_array)
     2640    0.017    0.000    0.368    0.000 C:\Python38\lib\site-packages\thinc\layers\expand_window.py:25(_expand_window_floats)
      330    0.253    0.001    0.366    0.001 C:\Python38\lib\site-packages\spacy\pipeline\edit_tree_lemmatizer.py:175(_scores2guesses_top_k_equals_1)
        1    0.363    0.363    0.363    0.363 {built-in method numpy.fromfile}
    10269    0.016    0.000    0.363    0.000 spacy\vocab.pyx:148(get)
       60    0.001    0.000    0.362    0.006 C:\Python38\lib\site-packages\urllib3\response.py:801(_raw_read)
        3    0.000    0.000    0.361    0.120 C:\Python38\lib\site-packages\matplotlib\backends\_backend_tk.py:269(idle_draw)
        3    0.000    0.000    0.361    0.120 C:\Python38\lib\site-packages\matplotlib\backends\backend_tkagg.py:9(draw)
       60    0.000    0.000    0.360    0.006 C:\Python38\lib\site-packages\urllib3\response.py:753(_fp_read)
       60    0.000    0.000    0.360    0.006 C:\Python38\lib\http\client.py:443(read)
       43    0.000    0.000    0.359    0.008 C:\Python38\lib\http\client.py:475(readinto)
       43    0.000    0.000    0.358    0.008 {method 'readinto' of '_io.BufferedReader' objects}
28773/8517    0.051    0.000    0.350    0.000 C:\Python38\lib\site-packages\pydantic\v1\fields.py:1152(_apply_validators)
     2640    0.093    0.000    0.349    0.000 thinc\backends\numpy_ops.pyx:228(seq2col)
        3    0.000    0.000    0.340    0.113 C:\Python38\lib\site-packages\matplotlib\backends\backend_agg.py:392(draw)
        3    0.000    0.000    0.335    0.112 C:\Python38\lib\site-packages\matplotlib\artist.py:93(draw_wrapper)
    429/3    0.002    0.000    0.335    0.112 C:\Python38\lib\site-packages\matplotlib\artist.py:54(draw_wrapper)
        3    0.000    0.000    0.335    0.112 C:\Python38\lib\site-packages\matplotlib\figure.py:3155(draw)
      6/3    0.000    0.000    0.330    0.110 C:\Python38\lib\site-packages\matplotlib\image.py:113(_draw_list_compositing_images)
        3    0.000    0.000    0.329    0.110 C:\Python38\lib\site-packages\matplotlib\axes\_base.py:2999(draw)
28749/8493    0.016    0.000    0.329    0.000 C:\Python38\lib\site-packages\pydantic\v1\class_validators.py:337(<lambda>)
     8148    0.030    0.000    0.321    0.000 C:\Python38\lib\site-packages\pydantic\v1\main.py:682(validate)
      299    0.003    0.000    0.314    0.001 C:\Python38\lib\site-packages\requests\sessions.py:751(merge_environment_settings)
      299    0.005    0.000    0.307    0.001 C:\Python38\lib\site-packages\requests\adapters.py:294(build_response)
     3320    0.012    0.000    0.305    0.000 {method 'mean' of 'numpy.ndarray' objects}
      299    0.001    0.000    0.303    0.001 C:\Python38\lib\site-packages\requests\utils.py:824(get_environ_proxies)
     3320    0.087    0.000    0.293    0.000 C:\Python38\lib\site-packages\numpy\core\_methods.py:164(_mean)
    59680    0.203    0.000    0.292    0.000 C:\Python38\lib\xml\dom\expatbuilder.py:274(character_data_handler_cdata)
      330    0.002    0.000    0.288    0.001 C:\Python38\lib\site-packages\spacy\pipeline\attributeruler.py:132(__call__)
